Date,Account,Category,Tags,Expense amount,Income amount,Currency,In main currency,Main currency,Description
1/19/25,DBS Savings,Gifts,,"6,000",0,CLP,"6,000",CLP,Souvenir for mom 
1/19/25,DBS Savings,Transport,taxi,"4,579",0,CLP,"4,579",CLP,
1/20/25,DBS Savings,Transport,taxi,"7,994",0,CLP,"7,994",CLP,
1/20/25,DBS Savings,Transport,travel,"162,000",0,CLP,"162,000",CLP,City tour
1/20/25,DBS Savings,Transport,taxi,"3,899",0,CLP,"3,899",CLP,
1/20/25,DBS Savings,Transport,taxi,"2,309",0,CLP,"2,309",CLP,
1/20/25,DBS Savings,Food & Drinks,groceries,"2,120",0,CLP,"2,120",CLP,
1/20/25,DBS Savings,Health & Personal Care,gym/exercise,35.24,0,SGD,"26,189.00",CLP,ClassPass
1/21/25,DBS Savings,Food & Drinks,groceries,"39,810",0,CLP,"39,810",CLP,
1/21/25,DBS Savings,Education,,790,0,CLP,790,CLP,iCloud
1/21/25,DBS Savings,Transport,airplane,"932,324",0,CLP,"932,324",CLP,
1/21/25,DBS Savings,Food & Drinks,restaurants,"50,960",0,CLP,"50,960",CLP,
1/21/25,DBS Savings,Health & Personal Care,,"10,198",0,CLP,"10,198",CLP,Shower gel and eye drops
1/21/25,DBS Savings,Transport,accommodation,"625,796",0,CLP,"625,796",CLP,Airbnb
1/21/25,DBS Savings,Transport,taxi,"12,000",0,CLP,"12,000",CLP,
1/21/25,DBS Savings,Food & Drinks,coffee & tea,"10,000",0,CLP,"10,000",CLP,
1/22/25,DBS Savings,Education,AI,29.00,0,USD,"28,748.00",CLP,Sudowrite
1/22/25,DBS Savings,Transport,travel,"28,000",0,CLP,"28,000",CLP,Entrada cueva de milodones
1/22/25,DBS Savings,Food & Drinks,coffee & tea,"3,000",0,CLP,"3,000",CLP,
1/22/25,DBS Savings,Food & Drinks,restaurants,"49,900",0,CLP,"49,900",CLP,
1/22/25,DBS Savings,Transport,travel,"74,200",0,CLP,"74,200",CLP,Park entrance
1/22/25,DBS Savings,Leisure,music,4.54,0,USD,"4,501.00",CLP,Spotify 
1/22/25,DBS Savings,Transport,travel,"639,000",0,CLP,"639,000",CLP,Torres del Paine tour
1/23/25,DBS Savings,Food & Drinks,coffee & tea,"7,600",0,CLP,"7,600",CLP,
1/23/25,DBS Savings,Food & Drinks,groceries,"5,000",0,CLP,"5,000",CLP,
1/24/25,DBS Savings,Food & Drinks,restaurants,"53,570",0,CLP,"53,570",CLP,
1/24/25,DBS Savings,Food & Drinks,groceries,"17,317",0,CLP,"17,317",CLP,
1/24/25,DBS Savings,Health & Personal Care,massage,"85,000",0,CLP,"85,000",CLP,
1/24/25,DBS Savings,Gifts,,"8,000",0,CLP,"8,000",CLP,Calafate jam for mom
1/25/25,DBS Savings,Transport,taxi,"2,991",0,CLP,"2,991",CLP,
1/25/25,DBS Savings,Food & Drinks,coffee & tea,"9,570",0,CLP,"9,570",CLP,
